company,year,quarter,metric,sub-metric,value
TSMC,2014,2,rev_geo,NORAM,67
TSMC,2014,2,rev_geo,China,8
TSMC,2014,2,rev_geo,EMEA,6
TSMC,2014,2,rev_geo,ASIAPAC,14
TSMC,2014,2,rev_geo,Japan,5
TSMC,2014,2,rev_seg,Computer,11
TSMC,2014,2,rev_seg,Communication,54
TSMC,2014,2,rev_seg,Consumer,12
TSMC,2014,2,rev_seg,Industrial/Standard,23
TSMC,2014,2,rev_tech,28nm,37
TSMC,2014,2,rev_tech,40/45nm,19
TSMC,2014,2,rev_tech,65nm,15
TSMC,2014,2,rev_tech,90nm,7
TSMC,2014,2,rev_tech,0.11/0.13um,3
TSMC,2014,2,rev_tech,0.15/0.18um,14
TSMC,2014,2,rev_tech,0.25/0.35um,4
TSMC,2014,2,rev_tech,0.50um and above,1
TSMC,2014,3,rev_geo,NORAM,69
TSMC,2014,3,rev_geo,China,6
TSMC,2014,3,rev_geo,EMEA,6
TSMC,2014,3,rev_geo,ASIAPAC,13
TSMC,2014,3,rev_geo,Japan,6
TSMC,2014,3,rev_seg,Computer,9
TSMC,2014,3,rev_seg,Communication,59
TSMC,2014,3,rev_seg,Consumer,10
TSMC,2014,3,rev_seg,Industrial/Standard,22
TSMC,2014,3,rev_tech,20nm,9
TSMC,2014,3,rev_tech,28nm,34
TSMC,2014,3,rev_tech,40/45nm,17
TSMC,2014,3,rev_tech,65nm,13
TSMC,2014,3,rev_tech,90nm,6
